cs-1169
brexitu	brexit	EVT	86-47
Británie	Británie	LOC	86-15
EU	EU	ORG	53-83
Velká Británie	velký Británie	LOC	98-3
Evropskou unii	evropský unie	ORG	53-8
Michel Barnier	Michel Barnier	PER	58-7
Severním Irskem	severní Irsko	LOC	69-6
Irskem	Irsko	LOC	75-6
Barniera	Barniera	PER	86-52
Severního Irska	severní Irsko	LOC	69-5
Spojené království	spojený království	LOC	69-7
Britové	Brit	PER	86-46
Barnier	Barnier	PER	86-52
Bruselu	Brusel	LOC	86-14
Borise Johnsona	Boris Johnson	PER	86-54
Brusel	Brusel	LOC	86-14
Británií	Británie	LOC	86-15
Philip Hammond	Philip Hammond	PER	59-12
Berlína	Berlín	LOC	86-51
