cs-2000
brexitu	brexit	EVT	86-47
Spojeným královstvím Velké Británie a Severního Irska	spojený království velký Británie a severní Irsko	LOC	69-7
Evropskou unií	evropský unie	ORG	53-8
Theresa Mayová	Theresa Mayová	PER	76-17
Londýně	Londýn	LOC	100-3
Florencii	Florencie	LOC	106-21
Velká Británie	velký Británie	LOC	98-3
Irsko	Irsko	LOC	75-9
Severní Irsko	severní Irsko	LOC	69-6
Brusel	Brusel	LOC	86-14
Londýnem	Londýn	LOC	100-3
Spojeného království	spojený království	LOC	69-7
EU	EU	ORG	53-83
Evropská rada	evropský rada	ORG	53-17
