cs-1209
brexitu	brexit	EVT	86-181
Mayové	Mayo	PER	58-69
Britští lordi	britský lord	PER	86-25
Britský parlament	britský parlament	ORG	86-24
Británie	Británie	LOC	86-15
Evropské unie	evropský unie	ORG	53-8
Spojenému království	spojený království	LOC	69-7
Londýn	Londýn	LOC	100-3
Velké Británie	velký Británie	LOC	98-3
Evropské unii	evropský unie	ORG	53-8
britským parlamentem	britský parlament	ORG	86-24
Toby Melville	Toby Melville	PER	76-20
Reuters	Reuters	ORG	95-3
Sněmovna lordů	sněmovna lord	ORG	69-10
Theresa Mayová	Theresa Mayová	PER	76-17
Lordi	lord	PER	100-10
Dolní sněmovna	dolní sněmovna	ORG	79-17
Jiří Hošek	Jiří Hošek	PER	51-2
Alžběty II .	Alžběta II .	PER	66-26
