cs-100
brexitu	brexit	EVT	86-19
EU	EU	ORG	53-83
Strukturální a investiční fondy EU	strukturální a investiční fond EU	PRO	69-142
Komise	komise	ORG	72-0
Evropského fondu pro regionální rozvoj	evropský fond pro regionální rozvoj	PRO	53-145
Evropského sociálního fondu	evropský sociální fond	PRO	53-161
Rakouska	Rakousko	LOC	95-2
Belgie	Belgie	LOC	86-205
Dánska	Dánsko	LOC	79-10
Finska	Finsko	LOC	106-40
Francie	Francie	LOC	106-10
Německa	Německo	LOC	88-2
Irska	Irsko	LOC	75-7
Nizozemska	Nizozemsko	LOC	88-3
Švédska	Švédsko	LOC	93-1
Itálii	Itálie	LOC	75-5
Španělsku	Španělsko	LOC	93-2
Británie	Británie	LOC	86-15
Evropské unie	evropský unie	ORG	53-8
Evropská komise	evropský komise	ORG	53-10
Evropu	Evropa	LOC	53-7
Juncker	Juncker	PER	51-148
Bratislavě	Bratislava	LOC	86-293
Římské deklaraci	římský deklarace	PRO	xxx
