cs-1180
brexitu	brexit	EVT	86-43
Británie	Británie	LOC	86-15
Macron	Macron	PER	58-14
Emmanuel Macron	Emmanuel Macron	PER	53-13
Paříži	Paříž	LOC	59-20
Velká Británie	velký Británie	LOC	98-3
Evropské unie	evropský unie	ORG	53-8
EU	EU	ORG	53-83
Turecku	Turecko	LOC	76-169
labouristé	labourista	PER	100-2
Londýně	Londýn	LOC	100-3
norskou	norský	LOC	88-109
Ernou Solbergovou	Erna Solbergová	PER	53-19
Británii	Británie	LOC	86-15
Liam Fox	Liam Fox	PER	100-13
euractiv cz	euractiv cz	PRO	53-2
labouristů	labourista	PER	100-2
Jeremy Corbyn	Jeremy Corbyn	PER	51-9
Británií	Británie	LOC	86-15
Londýn	Londýn	LOC	100-3
Macrona	Macron	PER	58-14
Norsko	Norsko	LOC	88-7
Evropskou unii	evropský unie	ORG	53-8
