cs-108
Süddeutsche Zeitung	Süddeutsche Zeitung	PRO	69-21
Anglii	Anglie	LOC	66-17
Theresa Mayová	Theresa Mayová	PER	76-17
brexitem	brexit	EVT	86-60
Británií	Británie	LOC	86-15
britské říše	britský říše	LOC	86-164
Bílého domu	bílý dům	LOC	86-232
Donald Trump	Donald Trump	PER	79-11
Spojené státy	spojený stát	LOC	69-8
Vladimira Putina	Vladimir Putina	PER	98-36
Matky Rusi	matka Rus	LOC	58-139
Recep Tayyip Erdogan	Recep Tayyip Erdogan	PER	95-88
Osmanské říše	osmanský říše	LOC	91-54
Polsku	Polsko	LOC	59-3
Jaroslawa Kaczynského	Jaroslawa Kaczynský	PER	51-125
Viktor Orbán	Viktor Orbán	PER	98-9
Francii	Francie	LOC	106-10
Itálii	Itálie	LOC	75-5
Nizozemsku	Nizozemsko	LOC	88-3
Německu	Německo	LOC	88-2
Rakousku	Rakousko	LOC	95-2
