cs-1016
Euro Zprávy . cz /	Euro zpráva . cz /	PRO	53-11
ČTK	ČTK	ORG	70-7
Londýn	Londýn	LOC	100-3
Amber Ruddová	Amber Ruddová	PER	66-10
Londýně	Londýn	LOC	100-3
summit	summit	EVT	xxx
zemí Společenství	země společenství	ORG	80-44
Commonwealth	Commonwealth	ORG	107-126
Theresa Mayová	Theresa Mayová	PER	76-17
Evropského parlamentu	evropský parlament	ORG	53-12
Guy Verhofstadt	Guy Verhofstadt	PER	77-2
EU	EU	ORG	53-83
Británii	Británie	LOC	86-15
Verhofstadt	Verhofstadt	PER	98-5
Mayové	Mayo	PER	58-69
brexitu	brexit	EVT	86-43
