cs-341
brexit	brexit	EVT	86-45
Francii	Francie	LOC	106-10
Nigel Lawson	Nigel Lawson	PER	88-21
Velké Británie	velký Británie	LOC	98-3
Evropské unie	evropský unie	ORG	53-8
Lawson	Lawson	PER	100-17
Evropu	Evropa	LOC	53-7
Evropské unii	evropský unie	ORG	53-8
Best for Britain	Best for Britain	ORG	86-6
Paul Butters	Paul Butters	PER	59-28
Lawsona	Lawson	PER	100-24
Brity	Brit	PER	86-46
The Conexion	the Conexion	ORG	76-148
Vote Leave	Vote Leave	ORG	98-11
The Guardian	the Guardian	PRO	76-3
Evropu“	Evropu“	LOC	53-138
Francie	Francie	LOC	106-10
EU	EU	ORG	53-83
Británie	Británie	LOC	86-15
Unie	unie	ORG	54-3
Británii	Británie	LOC	86-15
Britů	Brit	PER	86-46
Britům	Brit	PER	86-46
