cs-1008
brexitu	brexit	EVT	86-47
Británie	Británie	LOC	86-15
Severního Irska	severní Irsko	LOC	69-5
britského	britský	ORG	xxx
ministerstva pro vystoupení z EU	ministerstvo pro vystoupení z EU	ORG	58-122
Reuters	Reuters	ORG	95-3
Brusel	Brusel	LOC	86-14
Londýnem	Londýn	LOC	100-3
Severní Irsko	severní Irsko	LOC	69-6
EU	EU	ORG	53-83
Londýn	Londýn	LOC	100-3
Severním Irsku	severní Irsko	LOC	69-6
Irskem	Irsko	LOC	75-6
Theresy Mayové	Theresy Mayo	PER	76-16
The Telegraph	the Telegraph	PRO	76-0
Bruselu	Brusel	LOC	86-14
Bruselem	Brusel	LOC	86-14
Evropská komise	evropský komise	ORG	53-10
Británii	Británie	LOC	86-15
ČTK	ČTK	ORG	70-7
britského parlamentu	britský parlament	ORG	86-24
Evropské unie	evropský unie	ORG	53-8
Londýna	Londýn	LOC	100-3
Financial Times	Financial Times	PRO	106-1
David Davis	David Davis	PER	79-14
Evropskou komisi	evropský komise	ORG	53-10
EU 27	EU 27	ORG	53-83
Michel Barnier	Michel Barnier	PER	58-7
France 2	France 2	PRO	106-12
