cs-1311
brexit	brexit	EVT	86-45
Česko	Česko	LOC	70-3
Evropa	Evropa	LOC	53-7
Brity	Brit	PER	86-46
Evropské unie	evropský unie	ORG	53-8
Českou republikou	český republika	LOC	70-3
Spojeným královstvím	spojený království	LOC	69-7
Andrejem Babišem	Andrej Babiš	PER	66-34
Martinem Stropnickým	Martin Stropnický	PER	58-72
Česku	Česko	LOC	70-2
Velké Británie	velký Británie	LOC	98-3
Británií	Británie	LOC	86-15
Českem	Česko	LOC	70-3
NATO	NATO	ORG	88-13
Británie	Británie	LOC	86-15
EU	EU	ORG	53-83
Theresa Mayová	Theresa Mayová	PER	76-17
Mnichově	Mnichov	LOC	58-76
