cs-61
ukrajinském parlamentu	ukrajinský parlament	ORG	119-48
Německu	Německo	LOC	151-10
Turecký	turecký	PRO	139-9
Kyjevu	Kyjev	LOC	137-0
Nord Stream – 2	Nord Stream – 2	PRO	151-14
Ukrajina	Ukrajina	LOC	119-9
Německo	Německo	LOC	151-10
Nord Stream - 2	Nord Stream - 2	PRO	151-8
Ukrajiny	Ukrajina	LOC	119-9
německý	německý	LOC	151-11
Frank - Walter Steinmeier	Frank - Walter Steinmeier	PER	168-13
Kyjev	Kyjev	LOC	137-0
Berlín	Berlín	LOC	149-3
Ukrajinu	Ukrajina	LOC	119-9
Nord Stream 2	Nord Stream 2	PRO	151-8
Gopková	Gopková	PER	140-38
Ruska	Rusko	LOC	158-1
Baltské moře	Baltský moře	LOC	149-14
Německa	Německo	LOC	151-10
Nord Streamu	Nord Stream	PRO	151-8
Turkish	Turkish	PRO	139-8
Černé moře	černý moře	LOC	135-2
Turecka	Turecko	LOC	139-7
Rusko	Rusko	LOC	158-0
Tureckem	Turecko	LOC	139-7
Bulharsko	Bulharsko	LOC	149-13
