cs-376
Bloomberg	Bloomberg	ORG	149-27
Nord Stream - 2	Nord Stream - 2	PRO	151-8
Spojené státy	spojený stát	LOC	134-71
North Stream - 2	North Stream - 2	PRO	151-31
Spojených států	spojený stát	LOC	134-71
Moskvy	Moskva	LOC	123-6
Donald Trump	Donald Trump	PER	143-10
Německo	Německo	LOC	151-10
Ruska	Rusko	LOC	158-1
Holandsku	Holandsko	LOC	157-20
Rusko	Rusko	LOC	158-0
Německu	Německo	LOC	151-10
Trump	Trump	PER	139-0
Německa	Německo	LOC	151-10
Rusku	Rusko	LOC	158-39
USA	USA	LOC	119-13
Spojených státech	spojený stát	LOC	134-71
Evropy	Evropa	LOC	118-2
Latinské Ameriky	latinský Amerika	LOC	163-37
Asie	Asie	LOC	131-24
Čínou	Čína	LOC	135-1
