pl-18
AFP	AFP	ORG	ORG-AFP-Agence-France-Press
Asi Bibi	Asia Bibi	PER	PER-Asia-Bibi
Asia Bibi	Asia Bibi	PER	PER-Asia-Bibi
Asię Bibi	Asia Bibi	PER	PER-Asia-Bibi
Aszik Masih	Aszik Masih	PER	PER-Ashiq-Masih
Benedykt XVI	Benedykt XVI	PER	PER-Benedict-XVI
Europy	Europa	LOC	LOC-Europe
Franciszek	Franciszek	PER	PER-Pope-Francis
Pakistanie	Pakistan	LOC	GPE-Pakistan
Pendżab	Pendżab	LOC	GPE-Punjab
Saifa ul-Mulooka	Saif ul-Mulook	PER	PER-Saif-Ul-Malook
Zawa Hussain Warraich	Zawa Hussain Warraich	PER	PER-Zawa-Hussain-Warraich
