ua-1014
Brexit	Brexit	EVT	EVT-Brexit
ЄС	ЄС	LOC	ORG-European-Union
Європейського союзу	Європейський союз	ORG	ORG-European-Union
Європейського суду	Європейський суд	ORG	ORG-European-Court-of-Justice
Євросоюзу	Євросоюз	LOC	ORG-European-Union
Борис Джонсон	Борис Джонсон	PER	PER-Boris-Johnson
Британії	Британія	LOC	GPE-Great-Britain
Великобританії	Великобританія	LOC	GPE-Great-Britain
Великої Британії	Велика Британія	LOC	GPE-Great-Britain
Великій Британії	Велика Британія	LOC	GPE-Great-Britain
Домінік Рааб	Домінік Рааб	PER	PER-Dominic-Raab
Естер Маквей	Естер Маквей	PER	PER-Ester-Makvi
МЗС	МЗС	ORG	ORG-Foreign-Office
Мей	Мей	PER	PER-Theresa-May
Північної Ірландії	Північна Ірландія	LOC	GPE-Northern-Ireland
Раніл Джаявардена	Раніл Джаяварден	PER	PER-Ranil-Dzhayavardena
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Шейлеш Вара	Шейлеш Вара	PER	PER-Shailesh-Vara
