ua-1049
Brexit	Brexit	EVT	EVT-Brexit
ЄС	ЄС	LOC	ORG-European-Union
Європейського Союзу	Європейський Союз	ORG	ORG-European-Union
Євросоюзу	Євросоюз	LOC	ORG-European-Union
Барньє	Барньє	PER	PER-Michel-Barnier
Британії	Британія	LOC	GPE-Great-Britain
Великобританія	Великобританія	LOC	GPE-Great-Britain
Великобританії	Великобританія	LOC	GPE-Great-Britain
Кабінет міністрів Великобританії	Кабінет міністрів Великобританії	ORG	ORG-Cabinet-of-the-United-Kingdom
Мішель Барньє	Мішель Барньє	PER	PER-Michel-Barnier
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
