ua-1032
Brexit	Brexit	EVT	EVT-Brexit
Reuters	Reuters	ORG	ORG-Reuters
ЄС	ЄС	LOC	ORG-European-Union
Європейського Союзу	Європейський Союз	ORG	ORG-European-Union
Європейського союзу	Європейський союз	ORG	ORG-European-Union
Євросоюзу	Євросоюз	LOC	ORG-European-Union
Англія	Англія	LOC	GPE-England
Барньє	Барньє	PER	PER-Michel-Barnier
Брюсселі	Брюссель	LOC	GPE-Brussles
Великої Британії	Велика Британія	LOC	GPE-Great-Britain
Лондоні	Лондон	LOC	GPE-London
Мішель Барньє	Мішель Барньє	PER	PER-Michel-Barnier
Північна Ірландія	Північна Ірландія	LOC	GPE-Northern-Ireland
Рада ЄС	Рада ЄС	ORG	ORG-Council-of-the-European-Union
Сполученого Королівства	Сполучене Королівство	LOC	GPE-Great-Britain
Уельс	Уельс	LOC	GPE-Wales
Шотландія	Шотландія	LOC	GPE-Scotland
