ua-1028
Brexit	Brexit	EVT	EVT-Brexit
Dieter Kempf	Dieter Kempf	PER	PER-Dieter-Kempf
IHS Markit	IHS Markit	ORG	ORG-IHS-Markit
Євросоюзу	Євросоюз	LOC	ORG-European-Union
Брюсселем	Брюссель	LOC	GPE-Brussles
Великобританії	Великобританія	LOC	GPE-Great-Britain
Дітер Кемпф	Дітер Кемпф	PER	PER-Dieter-Kempf
Кемпф	Кемпф	PER	PER-Dieter-Kempf
Ла-Маншу	Ла-Манш	LOC	LOC-English-Channel
Терези Мей	Тереза Мей	PER	PER-Theresa-May
Тім Моор	Тім Моор	PER	PER-Tim-Moor
Федерального об'єднання німецької промисловості (BDI)	Федеральне об'єднання німецької промисловості (BDI)	ORG	ORG-Federation-of-German-Industries
