ua-1021
Brexit	Brexit	EVT	EVT-Brexit
DW	DW	ORG	ORG-Deutsche-Welle
Єврокомісії	Єврокомісія	ORG	ORG-European-Commission
Євросоюз	Євросоюз	ORG	ORG-European-Union
Британії	Британія	LOC	GPE-Great-Britain
Брюсселя	Брюссель	LOC	GPE-Brussles
Велика Британія	Велика Британія	LOC	GPE-Great-Britain
Великобританії	Великобританія	LOC	GPE-Great-Britain
Домінік Рааб	Домінік Рааб	PER	PER-Dominic-Raab
Естер Маквей	Естер Маквей	PER	PER-Emanuelе-Ferarrio
Жан-Клодом Юнкером	Жан-Клод Юнкер	PER	PER-Jean-Claude-Juncker
КИЇВ	Київ	LOC	GPE-Kiev
Мей	Мей	PER	PER-Theresa-May
Тереза   Мей	Тереза Мей	PER	PER-Theresa-May
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
УНН	УНН	ORG	ORG-UNN
