ua-1000
Brexit	Brexit	EVT	EVT-Brexit
Twitter	Twitter	PRO	PRO-Twitter
ЄС	ЄС	LOC	ORG-European-Union
Європейського союзу	Європейський Союз	ORG	ORG-European-Union
Євросоюзу	Євросоюз	LOC	ORG-European-Union
Барклі	Барклі	PER	PER-Stiven-Barkli
Борис Джонсон	Борис Джонсон	PER	PER-Boris-Johnson
Британії	Британія	LOC	GPE-Great-Britain
Великої Британії	Велика Британія	LOC	GPE-Great-Britain
Домінік Рааб	Домінік Рааб	PER	PER-Dominic-Raab
Домініка Раабе	Домінік Раабе	PER	PER-Dominic-Raab
Естер Маквей	Естер Маквей	PER	PER-Ester-Makvi
МЗС	МЗС	ORG	ORG-Foreign-Office
Мей	Мей	PER	PER-Theresa-May
Мінфін Британії	Мінфін Британії	ORG	ORG-Ministry-of-Finance-UK
Північної Ірландії	Північна Ірландія	LOC	GPE-Northern-Ireland
Раніл Джаявардена	Раніл Джаяварден	PER	PER-Ranil-Dzhayavardena
Сполученого Королівства	Сполучене Королівство	LOC	GPE-Great-Britain
Стівена Барклі	Стівен Барклі	PER	PER-Stiven-Barkli
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Терези Мей	Тереза Мей	PER	PER-Theresa-May
Шейлеш Вара	Шейлеш Вара	PER	PER-Shailesh-Vara
британському Міністерстві охорони здоров'я	британське Міністерство охорони здоров'я	ORG	ORG-British-Ministry-of-Health
