ua-102
Brexit	Brexit	EVT	EVT-Brexit
«Iнтерфакс-Україна»	"Інтерфакс-Україна"	ORG	ORG-Interfax-Ukraine
«Українську правду»	"Українська правда"	PRO	PRO-Ukrainian-Pravda
«Українські Новини»	"Українські Новини"	ORG	ORG-Ukrainian-News
Алєксандром Яковенком	Алєксандр Яковенко	PER	PER-Alyeksandr-Yakovenko
Бенкс	Бенкс	PER	PER-Arron-Banks
Бенкса	Бенкс	PER	PER-Arron-Banks
Бенксу	Бенкс	PER	PER-Arron-Banks
Георгій Гонгадзе	Георгій Гонгадзе	PER	PER-Heorhiy-Honhadze
Дональда Трампа	Дональд Трамп	PER	PER-Donald-Trump
Лондоні	Лондон	LOC	GPE-London
РФ	РФ	LOC	GPE-Russia
США	США	LOC	GPE-USA
Українська правда	Українська правда	ORG	ORG-Ukrainian-Pravda
