ua-1026
Brexit	Brexit	EVT	EVT-Brexit
ЄС	ЄС	LOC	ORG-European-Union
Європейського Союзу	Європейський Союз	ORG	ORG-European-Union
Європейської ради	Європейська рада	ORG	ORG-European-Parliament
Євросоюзу	Євросоюз	LOC	ORG-European-Union
Англія	Англія	LOC	GPE-England
Британією	Британія	LOC	GPE-Great-Britain
Великобританії	Великобританія	LOC	GPE-Great-Britain
Домінік Рааб	Домінік Рааб	PER	PER-Dominic-Raab
Дональд Туск	Дональд Туск	PER	PER-Donald-Tusk
Естер Маквей	Естер Маквей	PER	PER-Ester-Makvi
Мей	Мей	PER	PER-Theresa-May
Північна Ірландія	Північна Ірландія	LOC	GPE-Northern-Ireland
Сполученого Королівства	Сполучене Королівство	LOC	GPE-Great-Britain
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Уельс	Уельс	LOC	GPE-Wales
Шотландія	Шотландія	LOC	GPE-Scotland
