uk-140
Boeing 737	Boeing 737	PRO	PRO-Boeing-737
Cockpit	Cockpit	ORG	ORG-Vereinigung-Cockpit
Martin Locher	Martin Locher	PER	PER-Martin-Locher
Ryanair	Ryanair	ORG	ORG-Ryanair
Tui	Tui	ORG	ORG-TUI-Group
dpa	dpa	ORG	ORG-DPA
Євросоюзу	Євросоюз	LOC	ORG-European-Union
Ірландії	Ірландія	LOC	GPE-Ireland
Бельгії	Бельгія	LOC	GPE-Belgium
Мартін Лохер	Мартін Лохер	PER	PER-Martin-Locher
Нідерландах	Нідерланди	LOC	GPE-Holland
Німеччини	Німеччина	LOC	GPE-Germany
Німеччині	Німеччина	LOC	GPE-Germany
Українські Новини	Українські Новини	ORG	ORG-Ukrainian-News
Швеції	Швеція	LOC	GPE-Sweden
