pl-1021
Adam Dąbrowski	Adam Dąbrowski	PER	PER-Adam-Dąbrowski
Afganistanie	Afganistan	LOC	GPE-Afghanistan
Ameryki	Ameryka	LOC	GPE-USA
Armenii	Armenia	LOC	GPE-Armenia
Brexitu	Brexit	EVT	EVT-Brexit
Chin	Chiny	LOC	GPE-China
ISIS	ISIS	ORG	ORG-ISIS-Islamic-State-of-Iraq-and-the-Levant
Izba Lordów	Izba Lordów	ORG	ORG-House-of-Lords
Londyn	Londyn	LOC	GPE-London
UE	UE	ORG	ORG-European-Union
Unii Europejskiej	Unia Europejska	ORG	ORG-European-Union
Unią	Unia	ORG	ORG-European-Union
Wielka Brytania	Wielka Brytania	LOC	GPE-Great-Britain
Wielkiej Brytanii	Wielka Brytania	LOC	GPE-Great-Britain
Wielką Brytanię	Wielka Brytania	LOC	GPE-Great-Britain
brexicie	Brexit	EVT	EVT-Brexit
brexit	Brexit	EVT	EVT-Brexit
