Sentence #,Word,POS,Tag
Sentence: 1,',Z,notpropn
,Tistega,Pd-msg,notpropn
,vecera,Ncmsg,notpropn
,sem,Va-r1s-n,notpropn
,prevec,Rgp,notpropn
,popil,Vmep-sm,notpropn
,zgodilo,Vmep-sn,notpropn
,se,Px------y,notpropn
,je,Va-r3s-n,notpropn
,mesec,Ncmsan,notpropn
,dni,Ncmpg,notpropn
,po,Sl,notpropn
,tem,Pd-nsl,notpropn
,ko,Cs,notpropn
,sem,Va-r1s-n,notpropn
,izvedel,Vmep-sm,notpropn
,da,Cs,notpropn
,me,Pp1-sa--y,notpropn
,zena,Ncfsn,notpropn
,vara,Vmpr3s,notpropn
,.,Z,notpropn
Sentence: 2,Dogodek,Ncmsn,notpropn
,v,Sl,notpropn
,Ankaranu,Npmsl,loc
,je,Va-r3s-n,notpropn
,bila,Va-p-sf,notpropn
,dramaticna,Agpfsn,notpropn
,nesreca,Ncfsn,notpropn
,.,Z,notpropn
Sentence: 3,Dekle,Ncnsn,notpropn
,je,Va-r3s-n,notpropn
,ob,Sl,notpropn
,vzvratni,Agpfsl,notpropn
,voznji,Ncfsl,notpropn
,zacelo,Vmep-sn,notpropn
,vpiti,Vmbn,notpropn
,da,Cs,notpropn
,bi,Va-c,notpropn
,jo,Pp3fsa--y,notpropn
,utisal,Vmep-sm,notpropn
,sem,Va-r1s-n,notpropn
,prijel,Vmep-sm,notpropn
,noz,Ncmsan,notpropn
,.,Z,notpropn
Sentence: 4,Prislo,Vmep-sn,notpropn
,je,Va-r3s-n,notpropn
,do,Sg,notpropn
,prerivanja,Ncnsg,notpropn
,in,Cc,notpropn
,umrla,Vmep-sf,notpropn
,je,Va-r3s-n,notpropn
,.,Z,notpropn
Sentence: 5,Tega,Pd-nsg,notpropn
,se,Px------y,notpropn
,sploh,Q,notpropn
,nisem,Va-r1s-y,notpropn
,zavedel,Vmep-sm,notpropn
,.,Z,notpropn
Sentence: 6,Kaj,Pq-nsn,notpropn
,se,Px------y,notpropn
,je,Va-r3s-n,notpropn
,zgodilo,Vmep-sn,notpropn
,sem,Va-r1s-n,notpropn
,izvedel,Vmep-sm,notpropn
,sele,Q,notpropn
,naslednjega,Agpmsg,notpropn
,dne,Ncmsg,notpropn
,iz,Sg,notpropn
,casopisja,Ncnsg,notpropn
,',Z,notpropn
,je,Va-r3s-n,notpropn
,v,Sa,notpropn
,intervju,Ncmsan,notpropn
,za,Sa,notpropn
,Stampo,Npfsa,org
,iz,Sg,notpropn
,Torina,Npmsg,loc
,izjavil,Vmep-sm,notpropn
,morilec,Ncmsn,notpropn
,.,Z,notpropn
Sentence: 7,Preiskave,Ncfpn,notpropn
,med,Si,notpropn
,sodnim,Agpmsi,notpropn
,postopkom,Ncmsi,notpropn
,so,Va-r3p-n,notpropn
,pokazale,Vmep-pf,notpropn
,da,Cs,notpropn
,so,Va-r3p-n,notpropn
,se,Px------y,notpropn
,dogodki,Ncmpn,notpropn
,odvijali,Vmpp-pm,notpropn
,bistveno,Rgp,notpropn
,drugace,Rgp,notpropn
,.,Z,notpropn
Sentence: 8,Dogodki,Ncmpn,notpropn
,v,Sl,notpropn
,prihodnjih,Agpmpl,notpropn
,mesecih,Ncmpl,notpropn
,pa,Cc,notpropn
,bodo,Va-f3p-n,notpropn
,pokazali,Vmep-pm,notpropn
,ali,Rgp,notpropn
,bo,Va-f3s-n,notpropn
,morilcu,Ncmsd,notpropn
,iz,Sg,notpropn
