docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
bg-16,0,1,14:25,,14:25,Mofsi,ADJ,O,
bg-16,0,2,Еврокомисията,Еврокомисия,еврокомисия,Npfsd,PROPN,B-ORG,ORG-European-Commission
bg-16,0,3,:,,:,punct,PUNCT,O,
bg-16,0,4,Пакистан,Пакистан,пакистан,Npmsi,PROPN,B-LOC,GPE-Pakistan
bg-16,0,5,да,,да,Tx,AUX,O,
bg-16,0,6,вземе,,взема,Vpptf-r3s,VERB,O,
bg-16,0,7,мерки,,мярка,Ncfpi,NOUN,O,
bg-16,0,8,за,,за,R,ADP,O,
bg-16,0,9,сигурността,,сигурност,Ncfsd,NOUN,O,
bg-16,0,10,на,,на,R,ADP,O,
bg-16,0,11,своите,,свой,Psxlop--d,DET,O,
bg-16,0,12,граждани,,гражданин,Ncmpi,NOUN,O,
bg-16,1,1,Очакваме,,очаквам,Vpitf-r1p,VERB,O,
bg-16,1,2,правителството,,правителство,Ncnsd,NOUN,O,
bg-16,1,3,на,,на,R,ADP,O,
bg-16,1,4,Пакистан,Пакистан,пакистан,Npmsi,PROPN,B-LOC,GPE-Pakistan
bg-16,1,5,да,,да,Tx,AUX,O,
bg-16,1,6,вземе,,взема,Vpptf-r3s,VERB,O,
bg-16,1,7,необходимите,,необходим,A-pd,ADJ,O,
bg-16,1,8,мерки,,мярка,Ncfpi,NOUN,O,
bg-16,1,9,за,,за,R,ADP,O,
bg-16,1,10,сигурността,,сигурност,Ncfsd,NOUN,O,
bg-16,1,11,на,,на,R,ADP,O,
bg-16,1,12,своите,,свой,Psxlop--d,DET,O,
bg-16,1,13,граждани,,гражданин,Ncmpi,NOUN,O,
bg-16,1,14,",",,",",punct,PUNCT,O,
bg-16,1,15,включително,,включително,Dd,ADV,O,
bg-16,1,16,на,,на,R,ADP,O,
bg-16,1,17,Асия,Асия,асия,Npfsi,PROPN,B-PER,PER-Asia-Bibi
bg-16,1,18,Биби,Биби,биби,Hfsi,PROPN,I-PER,PER-Asia-Bibi
bg-16,1,19,.,,.,punct,PUNCT,O,
bg-16,2,1,Това,,този,Pde-os-n,PRON,O,
bg-16,2,2,заяви,,заявя,Vpptf-o3s,VERB,O,
bg-16,2,3,днес,,днес,Dt,ADV,O,
bg-16,2,4,на,,на,R,ADP,O,
bg-16,2,5,пресконференция,,пресконференция,Ncfsi,NOUN,O,
bg-16,2,6,говорител,,говорител,Ncmsi,NOUN,O,
bg-16,2,7,на,,на,R,ADP,O,
bg-16,2,8,Европейската,Европейска,европейски,Afsd,ADJ,B-ORG,ORG-European-Commission
bg-16,2,9,комисия,комисия,комисия,Ncfsi,NOUN,I-ORG,ORG-European-Commission
bg-16,2,10,в,,в,R,ADP,O,
bg-16,2,11,отговор,,отговор,Ncmsi,NOUN,O,
bg-16,2,12,на,,на,R,ADP,O,
bg-16,2,13,въпрос,,въпрос,Ncmsi,NOUN,O,
bg-16,2,14,.,,.,punct,PUNCT,O,
bg-16,3,1,Много,,много,Md-pi,ADV,O,
bg-16,3,2,е,,съм,Vxitf-r3s,AUX,O,
bg-16,3,3,важно,,важно,Dm,ADV,O,
bg-16,3,4,този,,този,Pde-os-m,DET,O,
bg-16,3,5,дълъг,,дълъг,Amsi,ADJ,O,
bg-16,3,6,процес,,процес,Ncmsi,NOUN,O,
bg-16,3,7,(,,(,punct,PUNCT,O,
bg-16,3,8,срещу,,срещу,R,ADP,O,
bg-16,3,9,Биби,Биби,биби,Npfsi,PROPN,B-PER,PER-Asia-Bibi
bg-16,3,10,),,),punct,PUNCT,O,
bg-16,3,11,да,,да,Tx,AUX,O,
bg-16,3,12,приключи,,приключа,Vpptf-r3s,VERB,O,
bg-16,3,13,",",,",",punct,PUNCT,O,
bg-16,3,14,добави,,добавя,Vpptf-o3s,VERB,O,
bg-16,3,15,той,,аз,Ppe-os3m,PRON,O,
bg-16,3,16,по,,по,R,ADP,O,
bg-16,3,17,повод,,повод,Ncmsi,NOUN,O,
bg-16,3,18,развитието,,развитие,Ncnsd,NOUN,O,
bg-16,3,19,на,,на,R,ADP,O,
bg-16,3,20,случая,,случай,Ncmsh,NOUN,O,
bg-16,3,21,с,,с,R,ADP,O,
bg-16,3,22,осъдената,,осъдя,Vpptcv--sfd,ADJ,O,
bg-16,3,23,на,,на,R,ADP,O,
bg-16,3,24,смърт,,смърт,Ncfsi,NOUN,O,
bg-16,3,25,за,,за,R,ADP,O,
bg-16,3,26,богохулство,,богохулство,Ncnsi,NOUN,O,
bg-16,3,27,християнка,,християнка,Ncfsi,NOUN,O,
bg-16,3,28,",",,",",punct,PUNCT,O,
bg-16,3,29,чието,,чийто,Prp--s-n,DET,O,
bg-16,3,30,наказание,,наказание,Ncnsi,NOUN,O,
bg-16,3,31,бе,,съм,Vxitf-t3s,AUX,O,
bg-16,3,32,отменено,,отменя,Vpptcv--sni,VERB,O,
bg-16,3,33,от,,от,R,ADP,O,
bg-16,3,34,Върховния,Върховен,върховен,Amsh,ADJ,B-ORG,ORG-Supreme-Court-of-Pakistan
bg-16,3,35,съд,съд,съд,Ncmsi,NOUN,I-ORG,ORG-Supreme-Court-of-Pakistan
bg-16,3,36,на,на,на,R,ADP,I-ORG,ORG-Supreme-Court-of-Pakistan
