pl-699
Anglii	Anglia	LOC	GPE-England
Brytyjczycy	Brytyjczycy	PER	GPE-Great-Britain
Brytyjczyków	Brytyjczycy	PER	GPE-Great-Britain
Guardian	Guardian	PRO	PRO-The-Guardian
ICM	ICM	ORG	ORG-ICM-Agency
Konserwatystów	Konserwatyści	PER	ORG-Conservative-and-Unionist-Party-UK
Partii Pracy	Partia Pracy	ORG	ORG-Labour-Party-UK
Szkoci	Szkoci	PER	GPE-Scotland
UE	UE	ORG	ORG-European-Union
Unii	Unia	ORG	ORG-European-Union
Unią	Unia	ORG	ORG-European-Union
Wspólnocie	Wspólnota	ORG	ORG-European-Union
Wspólnoty	Wspólnota	ORG	ORG-European-Union
brexitu	Brexit	EVT	EVT-Brexit
