pl-253
Brexitu	Brexit	EVT	EVT-Brexit
DUP	DUP	ORG	ORG-DUP-Democratic-Unionist-Party
Demokratyczną Partią Unionistów	Demokratyczna Partia Unionistów	ORG	ORG-DUP-Democratic-Unionist-Party
Izbie Gmin	Izba Gmin	ORG	ORG-House-of-Commons
Izby Lordów	Izba Lordów	ORG	ORG-House-of-Lords
Komitetu 1922	Komitet 1922	ORG	ORG-1922-Committee
May	May	PER	PER-Theresa-May
PAP	PAP	ORG	ORG-PAP-Polish-Press-Agency
Partia Konserwatywna	Partia Konserwatywna	ORG	ORG-Conservative-and-Unionist-Party-UK
Partii Konserwatywnej	Partia Konserwatywna	ORG	ORG-Conservative-and-Unionist-Party-UK
Steve Baker	Steve Baker	PER	PER-Steve-Baker
Theresa May	Theresa May	PER	PER-Theresa-May
UE	UE	ORG	ORG-European-Union
Unii Europejskiej	Unia Europejska	ORG	ORG-European-Union
W. Brytanii	W. Brytania	LOC	GPE-Great-Britain
Wielka Brytania	Wielka Brytania	LOC	GPE-Great-Britain
