pl-1956
BBC	BBC	PRO	PRO-BBC
Brexicie	Brexit	EVT	EVT-Brexit
Brexitu	Brexit	EVT	EVT-Brexit
Brukselą	Bruksela	LOC	GPE-Brussles
Brytyjczycy	Brytyjczycy	PER	GPE-Great-Britain
Brytyjczyków	Brytyjczycy	PER	GPE-Great-Britain
EPL	EPL	ORG	ORG-EPP-European-Peoples-Party
Europejskiej Partii Ludowej	Europejska Partia Ludowa	ORG	ORG-EPP-European-Peoples-Party
Guy Verhofstadt	Guy Verhofstadt	PER	PER-Guy-Verhofstadt
Manfred Weber	Manfred Weber	PER	PER-Manfred-Weber
May	May	PER	PER-Theresa-May
PAP	PAP	ORG	ORG-PAP-Polish-Press-Agency
Parlamencie Europejskim	Parlament Europejski	ORG	ORG-European-Parliament
UE	UE	ORG	ORG-European-Union
Unii Europejskiej	Unia Europejska	ORG	ORG-European-Union
Unią Europejską	Unia Europejska	ORG	ORG-European-Union
Weber	Weber	PER	PER-Manfred-Weber
Wielka Brytania	Wielka Brytania	LOC	GPE-Great-Britain
Wielkiej Brytanii	Wielka Brytania	LOC	GPE-Great-Britain
Wspólnotę	Wspólnota	ORG	ORG-European-Union
Zjednoczonym Królestwem	Zjednoczone Królestwo	LOC	GPE-Great-Britain
europarlamencie	Europarlament	ORG	ORG-European-Parliament
