pl-1421
Brexit	Brexit	EVT	EVT-Brexit
Dariusz Lisiak	Dariusz Lisiak	PER	PER-Dariusz-Lisiak
Dariusza Lisiaka	Dariusz Lisiak	PER	PER-Dariusz-Lisiak
Elżbieta Mamos	Elżbieta Mamos	PER	PER-Elżbieta-Mamos
Jedynka	Jedynka	PRO	PRO-Polish-Radio-1
Naczelna Redakcja Gospodarcza	Naczelna Redakcja Gospodarcza	ORG	ORG-Chief-Economic-Editorial-Office
Niemiec	Niemcy	LOC	GPE-Germany
Polak	Polak	PER	GPE-Poland
Polsce	Polska	LOC	GPE-Poland
Polska	Polska	LOC	GPE-Poland
Słowacji	Słowacja	LOC	GPE-Slovakia
Unii Europejskiej	Unia Europejska	ORG	ORG-European-Union
Wielkiej Brytanii	Wielka Brytania	LOC	GPE-Great-Britain
