ru-169
Брюсселя	Брюссель	LOC	215-10
Aer lingus	Aer lingus	ORG	218-14
Air Baltic	Air Baltic	ORG	218-25
Air Europa	Air Europa	ORG	218-26
Air Serbia	Air Serbia	ORG	218-27
Nippon Airways	Nippon Airways	ORG	238-12
Британские авиалинии	британский авиалиния	ORG	215-41
Чешские авиалинии	чешский авиалиния	ORG	xxx
easyJet	easyJet	ORG	206-15
Etihad Airways	Etihad Airways	ORG	206-27
FlyEgypt	FlyEgypt	ORG	254-31
Иберия	Иберий	ORG	250-25
KLM	KLM	ORG	223-0
Ryanair	Ryanair	ORG	244-2
Tunisair	Tunisair	ORG	225-19
Турецкие авиалинии	турецкий авиалиния	ORG	208-11
