cs-255
BBC	BBC	PRO	PRO-BBC
Borise Johnsona	Boris Johnson	PER	PER-Boris-Johnson
Britská obchodní komora	Britská obchodní komora	ORG	ORG-British-Chambers-of-Commerce
Británie	Británie	LOC	GPE-Great-Britain
Británii	Británie	LOC	GPE-Great-Britain
CNN	CNN	ORG	ORG-CNN
Downing Street	Downing Street	LOC	LOC-Downing-Street
EU	EU	ORG	ORG-European-Union
John Pienaar	John Pienaar	PER	PER-John-Pienaar
Kodži Curuoka	Kodži Curuoka	PER	PER-Koji-Tsoruoka
Mayová	Mayová	PER	PER-Theresa-May
Mayové	Mayová	PER	PER-Theresa-May
Nissan	Nissan	ORG	ORG-Nissan
Nomura	Nomura	ORG	ORG-Nomura-Holdings-Inc
Philippa Hammonda	Philipp Hammond	PER	PER-Philip-Hammond
Reuters	Reuters	ORG	ORG-Reuters
brexit	brexit	EVT	EVT-Brexit
brexitu	brexit	EVT	EVT-Brexit
