cs-867
Británii	Británie	LOC	GPE-Great-Britain
Cambridge Analytica	Cambridge Analytica	ORG	ORG-Cambridge-Analytica
Christopher Wylie	Christopher Wylie	PER	PER-Christopher-Wylie
Facebook	Facebook	ORG	ORG-Facebook
Facebooku	Facebook	ORG	ORG-Facebook
Facebooku	Facebook	PRO	PRO-Facebook
Mark Zuckerberg	Mark Zuckerberg	PER	PER-Mark-Zuckerberg
Playboy	Playboy	PRO	PRO-Playboy
SpaceX	SpaceX	ORG	ORG-SpaceX-company
Tesla	Tesla	ORG	ORG-Tesla-company
amerického Kongresu	americký Kongres	ORG	ORG-United-States-Congress
britský parlament	britský parlament	ORG	ORG-British-Parlament
