cs-468
BBC	BBC	PRO	PRO-BBC-website
Brexit	Brexit	EVT	EVT-Brexit
Británie	Británie	LOC	GPE-Great-Britain
Británii	Británie	LOC	GPE-Great-Britain
Britů	Britové	PER	GPE-Great-Britain
EU	EU	ORG	ORG-European-Union
Evropskou unii	Evropská unie	ORG	ORG-European-Union
Evropské unie	Evropská unie	ORG	ORG-European-Union
Nicola Whiteová	Nicola Whiteová	PER	PER-Nicola-White
ONS	ONS	ORG	ORG-ONS-Office-for-National-Statistics
Velké Británie	Velká Británie	LOC	GPE-Great-Britain
Velké Británii	Velká Británie	LOC	GPE-Great-Britain
brexit	brexit	EVT	EVT-Brexit
brexitu	brexit	EVT	EVT-Brexit
britským statistickým úřadem	britský statistický úřad	ORG	ORG-ONS-Office-for-National-Statistics
