ua-1052
Brexit	Brexit	EVT	EVT-Brexit
ЄС	ЄС	LOC	ORG-European-Union
Європейського Союзу	Європейський Союз	ORG	ORG-European-Union
Брюсселем	Брюссель	LOC	GPE-Brussles
Великою Британією	Велика Британія	LOC	GPE-Great-Britain
Ембер Радд	Ембер Радд	PER	PER-Amber-Rudd
МВС	МВС	ORG	ORG-Home-Office-UK
Палата громад	Палата громад	ORG	ORG-House-of-Commons
Палаті громад	Палата громад	ORG	ORG-House-of-Commons
Парламент Британії	Парламент Британії	ORG	ORG-British-Parlament
парламент	парламент	ORG	ORG-British-Parlament
