ua-1045
Brexit	Brexit	EVT	EVT-Brexit
Reuters	Reuters	ORG	ORG-Reuters
ЄС	ЄС	LOC	ORG-European-Union
Єврокомісія	Єврокомісія	ORG	ORG-European-Commission
Європа	Європа	LOC	GPE-Europe
Європарламент	Європарламент	ORG	ORG-European-Parliament
Європейського Союзу	Європейський Союз	ORG	ORG-European-Union
Євросоюзу	Євросоюз	LOC	ORG-European-Union
Барньє	Барньє	PER	PER-Michel-Barnier
Британія	Британія	LOC	GPE-Great-Britain
Британії	Британія	LOC	GPE-Great-Britain
Брюсселем	Брюссель	LOC	GPE-Brussles
Велика Британія	Велика Британія	LOC	GPE-Great-Britain
Великою Британією	Велика Британія	LOC	GPE-Great-Britain
Великої Британії	Велика Британія	LOC	GPE-Great-Britain
Вестмінстер	Вестмінстер	LOC	GPE-Westminster
КИЇВ	Київ	LOC	GPE-Kiev
Лондоном	Лондон	LOC	GPE-London
Мей	Мей	PER	PER-Theresa-May
Мішель Барньє	Мішель Барньє	PER	PER-Michel-Barnier
Німеччина	Німеччина	LOC	GPE-Germany
Тереза   Мей	Тереза Мей	PER	PER-Theresa-May
УНН	УНН	ORG	ORG-UNN
