ua-1029
Brexit	Brexit	EVT	EVT-Brexit
ЄС	ЄС	LOC	ORG-European-Union
Єврокомісія	Єврокомісія	ORG	ORG-European-Commission
Європарламент	Європарламент	ORG	ORG-European-Parliament
Європейського Союзу	Європейський Союз	ORG	ORG-European-Union
Європейської ради	Європейська рада	ORG	ORG-European-Parliament
Євросоюзу	Євросоюз	LOC	ORG-European-Union
Австрії	Австрія	LOC	GPE-Austria
Британії	Британія	LOC	GPE-Great-Britain
Брюсселем	Брюссель	LOC	GPE-Brussles
Велика Британія	Велика Британія	LOC	GPE-Great-Britain
Великої Британії	Велика Британія	LOC	GPE-Great-Britain
Вестмінстер	Вестмінстер	LOC	GPE-Westminster
Гернот Блюмель	Гернот Блюмель	PER	PER-Georgios
Дідьє Рейндерс	Дідьє Рейндерс	PER	PER-Didier-Reynders
КИЇВ	Київ	LOC	GPE-Kiev
Лондоном	Лондон	LOC	GPE-London
МЗС Бельгії	МЗС Бельгії	ORG	ORG-Ministry-of-Foreign-Affairs-of-Belgium
Мішель Барньє	Мішель Барньє	PER	PER-Michel-Barnier
Ради ЄС	Рада ЄС	ORG	ORG-Council-of-the-European-Union
Раді ЄС	Рада ЄС	ORG	ORG-Council-of-the-European-Union
УНН	УНН	ORG	ORG-UNN
