ua-1047
Brexit	Brexit	EVT	EVT-Brexit
ЄС	ЄС	LOC	ORG-European-Union
Євросоюзу	Євросоюз	LOC	ORG-European-Union
Барньє	Барньє	PER	PER-Michel-Barnier
Британії	Британія	LOC	GPE-Great-Britain
Брюсселем	Брюссель	LOC	GPE-Brussles
Брюссель	Брюссель	LOC	GPE-Brussles
Домінік Рааб	Домінік Рааб	PER	PER-Dominic-Raab
Естер Макві	Естер Макві	PER	PER-Ester-Makvi
Лондон	Лондон	LOC	GPE-London
Мей	Мей	PER	PER-Theresa-May
Мішель Барньє	Мішель Барньє	PER	PER-Michel-Barnier
Північної Ірландії	Північна Ірландія	LOC	GPE-Northern-Ireland
Українська правда	Українська правда	PRO	PRO-Ukrainian-Pravda
Шайлеш Вара	Шайлеш Вара	PER	PER-Shailesh-Vara
кабінет міністрів Великої Британії	кабінет міністрів Великої Британії	ORG	ORG-Cabinet-of-the-United-Kingdom
